Bulan,NOPOL,Kategori Site,Site Name,BU Site,Type Armada,Klasifikasi Kendaraan,Usia (Year),Owner,DPP,Nominal Downtime,DPP Net (setelah downtime)
May-25,A8815VB,NDC,JABABEKA AHI,AHI,CDE LC,NIAGA,2,MR,8571000.0,0,8571000.0
May-25,A8073VC,NDC,JABABEKA AHI,AHI,CDE PICK UP,NIAGA,2,MR,8384000.0,0,8384000.0
May-25,A8490ZH,NDC,JABABEKA AHI,AHI,CDD LC,NIAGA,7,MR,5852000.0,2128000.0,3724000.0
May-25,A8041ZV,NDC,JABABEKA AHI,AHI,CDE LC,NIAGA,14,MR,3997067.0,614933.0,3382134.0
May-25,A8657ZF,NDC,JABABEKA AHI,AHI,CDD LC,NIAGA,7,MR,6650000.0,1330000.0,5320000.0
Jun-25,A8373WX,NDC,JABABEKA AHI,AHI,CDE,NIAGA,13,MR,4674000.0,0,4674000.0
Jun-25,A8371WX,NDC,JABABEKA AHI,AHI,CDE,NIAGA,13,MR,4674000.0,0,4674000.0
Aug-24,TCIU9942759,NDC,CIKUPA HCI,AHI,CONT-40,NIAGA,14,BU,0,0,0
Aug-24,TCIU9942738,NDC,CIKUPA HCI,AHI,CONT-40,NIAGA,14,BU,0,0,0
Aug-24,FUKU5034964,NDC,CIKUPA HCI,AHI,CONT-40,NIAGA,14,BU,0,0,0
Aug-24,FUKU7100169,NDC,CIKUPA HCI,HCI,CONT-40,NIAGA,14,BU,0,0,0
Aug-24,FUKU8300177,NDC,CIKUPA HCI,HCI,CONT-40,NIAGA,14,BU,0,0,0
Aug-24,FUKU8300069,NDC,CIKUPA HCI,HCI,CONT-40,NIAGA,14,BU,0,0,0
Aug-24,B9067BEN,NDC,CIKUPA HCI,HCI,WINGBOX,NIAGA,12,BU,0,0,0
Aug-24,B9069BEN,NDC,CIKUPA HCI,HCI,WINGBOX,NIAGA,12,BU,0,0,0
Aug-24,B9020BEA,NDC,CIKUPA HCI,HCI,TRACTOR HEAD,NIAGA,14,BU,0,0,0
Aug-24,B9056BEN,NDC,CIKUPA HCI,AHI,WINGBOX,NIAGA,13,BU,0,0,0
Aug-24,B9071BEN,NDC,CIKUPA HCI,AHI,WINGBOX,NIAGA,12,BU,0,0,0
Aug-24,B9059BEN,NDC,SIDOARJO HCI,HCI,WINGBOX,NIAGA,13,BU,0,0,0
Aug-24,B9057BEN,NDC,SIDOARJO HCI,HCI,WINGBOX,NIAGA,13,BU,0,0,0
Aug-24,B9126SCB,HUB,HUB KOTA KASABLANKA (AHI),AHI,MVB,NIAGA,13,MR,2038560.0,0,2038560.0
Aug-24,A8915WX,HUB,HUB BOGOR TERASUTRA (AHI),AHI,MVB,NIAGA,13,MR,2348250.0,0,2348250.0
Aug-24,A8090VX,NDC,SIDOARJO AHI,AHI,MVB,NIAGA,13,MR,2348250.0,0,2348250.0
Aug-24,A8205VX,HUB,HUB AHMAD YANI BEKASI (AHI),AHI,MVB,NIAGA,13,MR,2348250.0,0,2348250.0
Aug-24,A8821XA,HUB,HUB BDG LP PASKAL (AHI),AHI,MVB,NIAGA,12,MR,2459850.0,0,2459850.0
Aug-24,A8304XY,HUB,HUB BDG LP PASKAL (AHI),AHI,MVB,NIAGA,11,MR,2524020.0,0,2524020.0
Aug-24,A8873ZX,HUB,HUB IBCC - BANDUNG (AHI),AHI,MVB,NIAGA,11,MR,2524020.0,0,2524020.0
Aug-24,H9628NA,HUB,HUB SEMARANG SILIWANGI (AHI),AHI,MVB,NIAGA,10,MR,2588190.0,0,2588190.0
Aug-24,B9486SCE,HUB,HUB PURI MALL (AHI),AHI,MVB,NIAGA,10,MR,2588190.0,0,2588190.0
Aug-24,B9643SCE,HUB,HUB IBCC - BANDUNG (AHI),AHI,MVB,NIAGA,10,MR,2588190.0,0,2588190.0
Aug-24,B9708SCE,HUB,HUB ALAM SUTERA (AHI),AHI,MVB,NIAGA,10,MR,2588190.0,0,2588190.0
Aug-24,B9321SCE,HUB,HUB CIBUBUR (AHI),AHI,MVB,NIAGA,10,MR,2588190.0,0,2588190.0
Aug-24,B9304SCE,HUB,HUB CIBUBUR (AHI),AHI,MVB,NIAGA,10,MR,2588190.0,0,2588190.0
Aug-24,A8477ZD,HUB,HUB KOTA KASABLANKA (AHI),AHI,MVB,NIAGA,9,MR,2750940.0,0,2750940.0
Aug-24,AB8685NH,HUB,HUB YOGYA URIP SUMOHARJO (AHI,AHI,MVB,NIAGA,9,MR,2750940.0,0,2750940.0
Aug-24,A8025ZC,HUB,HUB LP BINTARO (AHI),AHI,MVB,NIAGA,9,MR,2750940.0,0,2750940.0
Aug-24,A8026ZC,HUB,HUB KOTA KASABLANKA (AHI),AHI,MVB,NIAGA,9,MR,2750940.0,0,2750940.0
Aug-24,A8077ZC,HUB,HUB DEPOK MARGONDA (AHI),AHI,MVB,NIAGA,9,MR,2750940.0,0,2750940.0
Jun-25,B9402SDA,NDC,JABABEKA AHI,AHI,CDE PICK UP,NIAGA,13,MR,4674000.0,0,4674000.0
Jun-25,A8629WX,NDC,JABABEKA AHI,AHI,CDE LC,NIAGA,13,MR,4674000.0,0,4674000.0
Jun-25,A8916WX,NDC,JABABEKA AHI,AHI,CDE LC,NIAGA,13,MR,4674000.0,0,4674000.0
Jun-25,A8049ZX,NDC,JABABEKA AHI,AHI,CDE LC,NIAGA,15,MR,4574000.0,0,4574000.0
Jun-25,A8041ZV,NDC,JABABEKA AHI,AHI,CDE LC,NIAGA,14,MR,4612000.0,0,4612000.0
Aug-24,A8325VX,HUB,HUB BDG LP PASKAL (AHI),AHI,CDE LC,NIAGA,13,MR,4346820.0,0,4346820.0
Aug-24,A8519XZ,HUB,HUB ALAM SUTERA (AHI),AHI,CDE LC,NIAGA,16,MR,4226850.0,0,4226850.0
Jun-25,A8233XZ,NDC,JABABEKA AHI,AHI,CDD PICKUP,NIAGA,16,MR,4478000.0,0,4478000.0
Aug-24,A8854ZW,HUB,HUB BOGOR TERASUTRA (AHI),AHI,CDE LC,NIAGA,16,MR,4226850.0,0,4226850.0
Jun-25,A8659XY,NDC,JABABEKA AHI,AHI,CDD LC,NIAGA,15,MR,5669000.0,0,5669000.0
Aug-24,A8632XZ,HUB,HUB ALAM SUTERA (AHI),AHI,CDE LC,NIAGA,16,MR,4226850.0,0,4226850.0
Jun-25,A8652XY,NDC,JABABEKA AHI,AHI,CDD LC,NIAGA,15,MR,5669000.0,0,5669000.0
